server_id,user_id
tts-25909381,NAS:ABKFQ
tts-25471963,NYS:LYB
tts-252682894,NYS:ELV
tts-250664059,NYS:STR~1
tts-2496610,NYS:NOV
tts-247896717,NYS:BALL
tts-24178047,NYS:KKR
tts-241776317,NYS:EP~1
tts-240346757,NAS:PARA
tts-24025054,NYS:MSCI
tts-24023730,NYS:QEP
tts-23932163,NYS:NEE
tts-23932154,NYS:MNK~1
tts-236022292,NYS:BLDR
tts-230442547,NYS:LLL
tts-229047670,NAS:XRX
tts-2288768,NYS:TAP
tts-225316618,NYS:BBWI
tts-224444255,NAS:HOOD
tts-220850568,NYS:OGN
tts-22004199,NYS:SCHW
tts-2184004,NYS:LVS
tts-2174372,NYS:MS
tts-217173114,NAS:COIN
tts-21608803,NYS:GNRC
tts-213544818,NAS:CHK
tts-210984145,NYS:FRX~1
tts-2096004,NYS:SIG
tts-2079936,NAS:MKTX
tts-20796040,NYS:AON
tts-2074152,NYS:DLR
tts-206812113,NAS:VTRS
tts-2063060,NYS:MOS
tts-206130495,NAS:HST
tts-205241943,NYS:LU
tts-2042965,NYS:DVN
tts-204177210,NYS:VNT
tts-203211641,NAS:ASO
tts-202639733,NYS:LUMN
tts-202132150,NAS:DYN
tts-201185706,NAS:GP
tts-197048394,NYS:SII
tts-19583252,NYS:FICO
tts-195239752,NAS:APA
tts-194794756,NAS:UCL
tts-1945576,NYS:EXR
tts-1925813,NYS:RAI
tts-189514260,NYS:OTIS
tts-189514258,NYS:CARR
tts-189494244,NYS:RTX
tts-189319823,NYS:HWM
tts-1860018,NAS:DPZ
tts-185581020,NYS:TT
tts-1847428,NYS:WCG
tts-183827829,NYS:VRT
tts-182941404,NAS:BEAM
tts-179987468,NYS:J
tts-179890919,NYS:TFC
tts-17914602,NAS:CAR
tts-1779839,NYS:GNW
tts-176240249,NAS:IBKR
tts-171851873,NYS:GL
tts-169233535,NYS:LHX
tts-16784816,NAS:NWSA
tts-16784815,NAS:NWS
tts-167822172,NYS:AMCR
tts-167251369,NYS:DD~1
tts-167149635,NYS:CTVA
tts-164468639,NYS:UBER
tts-16363365,NYS:NOW
tts-162479082,NYS:PD
tts-162054712,NYS:DOW~1
tts-15935732,NYS:BIO
tts-159320127,NAS:WTW
tts-158183018,NAS:TER
tts-157814327,NYS:CPRI
tts-157369986,NAS:REG
tts-157369985,NAS:NWL
tts-157369984,NAS:LNT
tts-156213659,NAS:PLL
tts-15515053,NAS:WAMUQ
tts-15427408,NAS:LEHMQ
tts-153457237,NYS:CTRA
tts-151195204,NAS:EQ
tts-149797942,NYS:CBOE
tts-14796283,NAS:CME
tts-14347668,NYS:LO
tts-142321438,NAS:SSP
tts-1407072,NAS:NDAQ
tts-13958797,NYS:AWK
tts-13882049,NYS:WRB
tts-137464333,NYS:CBRE
tts-1366641,NYS:FHN
tts-136334331,NYS:WELL
tts-134577655,NYS:VICI
tts-133993341,NYS:ADT~1
tts-13350159,NYS:PM
tts-132294694,NAS:PFG
tts-131772441,NYS:APTV
tts-1314686,NYS:M
tts-1312545,NYS:NRG
tts-130773564,NYS:IQV
tts-129970223,NYS:TPR
tts-129844425,NYS:SE~1
tts-125860598,NAS:BHF
tts-125612512,NYS:ANDV
tts-1243470,NYS:H
tts-123951804,NYS:CBH
tts-12362150,NYS:NVR
tts-12361625,NAS:SATS
tts-122549822,NYS:ATGE
tts-121888734,NYS:VST
tts-121062451,NYS:CVNA
tts-120149502,NYS:DXC
tts-1195188,NYS:AIZ
tts-11874978,NYS:ES
tts-117308293,NYS:INVH
tts-11568032,NYS:TDC
tts-114884407,NYS:UAA
tts-112264524,NYS:LW
tts-11186878,NYS:CXO
tts-1106230,NYS:CMI
tts-10976627,NYS:TEL
tts-10976623,NYS:COV
tts-109195048,NYS:RRD
tts-10884108,NYS:BX
tts-107626550,NAS:INFO
tts-107229686,NYS:FTV
tts-104497775,NYS:SPGI
tts-1032559,NYS:CNC
tts-1030588,NYS:TWX
tts-10254193,NYS:IVZ
tts-102491200,NAS:SNI
